"Response ID";"Date submitted";"Last page";"Start language";"Seed";"Date started";"Date last action";"IP address";"Referrer URL";"Who are you?  (Multiple options can be selected)  [LTS user]";"Who are you?  (Multiple options can be selected)  [LTS contributor/developer]";"Who are you?  (Multiple options can be selected)  [LTS sponsor]";"Who are you?  (Multiple options can be selected)  [Debian developer (project member)]";"Who are you?  (Multiple options can be selected)  [Debian FTP team member]";"Who are you?  (Multiple options can be selected)  [Debian security team member]";"Who are you?  (Multiple options can be selected)  [Debian release team member]";"Who are you?  (Multiple options can be selected)  [Debian www team member]";"Who are you?  (Multiple options can be selected)  [Debian System Administrator (DSA)]";"Who are you?  (Multiple options can be selected)  [Debian Buildd Admin]";"Who are you?  (Multiple options can be selected)  [Other]";"How long have you been using Debian?";"How long have you been using LTS?";"Are you using Extended LTS (ELTS)?";"Why do you use LTS?     Please skip this and the next five questions if you are not using LTS and continue with question 11. ";"On a scale of 1 (= very unhappy) to 10 (= very happy) how happy are you with the quality of the LTS updates? [Array]";"On a scale of 1 (= very unhappy) to 10 (= very happy), how happy are you with the how quickly LTS updates reach you? [Array]";"How would you feel if you could no longer use Debian LTS?";"Where do you use Debian LTS? [At home.]";"Where do you use Debian LTS? [At work.]";"Where do you use Debian LTS? [In another organization.]";"If you use LTS at work or in an organization, how big is that organization?";"Questions for everyone again:On a scale from 1 (= very unhappy) to 10 (= very happy), if your Debian duties led you to interact with LTS contributors, how would you rate the interaction with said contributors? [Array]";"Do you see problems with/about Debian LTS and if so, which?";"What suggestions/wishes do you have for Debian LTS?";"How likely is it that you would recommend Debian LTS to a friend or colleague? (1 = very unlikely, 10 = very likely) [Array]";"Total time";"Group time: Debian LTS Survey";"Question time: G01Q001";"Question time: G01Q17";"Question time: G01Q16";"Question time: G00Q13";"Question time: G01Q05";"Question time: G01Q06";"Question time: G01Q07";"Question time: G01Q13";"Question time: G01Q18";"Question time: G01Q19";"Question time: G01Q09";"Question time: G01Q10";"Question time: G01Q11";"Question time: G01Q12"
"12";"2020-06-30 20:31:43";"1";"en";"378650103";"2020-06-30 20:30:20";"2020-06-30 20:31:42";"106.215.36.86";"";"No";"Yes";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"1-5 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"10";"None.";"None.";"10";"165.88";"165.88";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"";"";"en";"873430394";"2020-06-30 22:17:24";"2020-06-30 22:17:24";"81.101.15.11";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"";"";"en";"737634075";"2020-07-11 15:04:39";"2020-07-11 15:04:39";"79.215.158.168";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"2020-07-11 18:29:17";"1";"en";"1884943096";"2020-07-11 18:27:59";"2020-07-11 18:29:17";"2.55.10.91";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"Yes";"No";"";"10-20 years";"";"No and I don't know what ELTS is.";"";"";"";"Very disappointed.";"Yes";"Yes";"Yes";"101-1000 people";"";"";"remove systemd from everywhere";"";"156.74";"156.74";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"";"";"en";"1108718849";"2020-07-12 03:17:24";"2020-07-12 03:17:24";"49.190.146.52";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"2020-07-12 03:36:50";"1";"en";"189531144";"2020-07-12 03:34:45";"2020-07-12 03:36:50";"192.0.229.11";"";"No";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"5-10 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"8";"250.05";"250.05";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"";"";"en";"2009611285";"2020-07-13 10:07:41";"2020-07-13 10:07:41";"90.65.99.143";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"2020-07-13 13:15:45";"1";"en";"1076762069";"2020-07-13 13:12:54";"2020-07-13 13:15:44";"201.87.38.204";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No.";"";"10";"10";"Very disappointed.";"No";"Yes";"No";"2-10 people";"5";"";"";"10";"341.86";"341.86";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"2020-07-13 13:18:55";"1";"en";"1925902460";"2020-07-13 13:14:07";"2020-07-13 13:18:55";"92.39.29.253";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"User and Systemadministrator";"10-20 years";"I'm not using LTS.";"No and I don't know what ELTS is.";"";"";"";"";"No";"No";"No";"";"";"";"";"8";"577.45";"577.45";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"";"";"en";"1340604906";"2020-07-13 13:14:18";"2020-07-13 13:14:18";"81.201.155.6";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
